id,name,category,brand,price,features,description,rating,stock
1,Samsung Galaxy A54,Smartphones,Samsung,28999,"5G,OLED,64MP,5000mAh",Great mid-range phone with excellent camera and long battery life,4.3,150
2,iPhone 15,Smartphones,Apple,79999,"5G,OLED,48MP,Face ID",Latest iPhone with A16 chip dynamic island and excellent cameras,4.7,80
3,OnePlus Nord CE3,Smartphones,OnePlus,24999,"5G,AMOLED,108MP,fast charging",Flagship killer with great display and blazing fast charging,4.2,200
4,Redmi Note 13 Pro,Smartphones,Xiaomi,26999,"5G,AMOLED,200MP,fast charging",Best camera phone in budget segment with 200MP sensor,4.4,300
5,Poco X6 Pro,Smartphones,Poco,22999,"5G,AMOLED,64MP,gaming",Best gaming phone under 25000 with Dimensity 8300 chip,4.1,180
6,Realme 12 Pro,Smartphones,Realme,27999,"5G,AMOLED,50MP,periscope zoom",Mid range phone with periscope zoom camera,4.0,220
7,Sony WH-1000XM5,Audio,Sony,29999,"ANC,30hr battery,Bluetooth 5.2",Best noise cancelling headphones in the market,4.8,60
8,boAt Rockerz 450,Audio,boAt,1499,"40hr battery,Bluetooth 5.0",Budget friendly wireless headphones with great bass,4.1,500
9,JBL Tune 770NC,Audio,JBL,5999,"ANC,44hr battery,Bluetooth 5.3",Great sounding headphones with active noise cancellation,4.3,180
10,Sony WF-1000XM5,Audio,Sony,19999,"ANC,8hr battery,Bluetooth 5.3",Best true wireless earbuds with industry leading ANC,4.7,90
11,Apple MacBook Air M2,Laptops,Apple,114999,"M2 chip,8GB RAM,256GB SSD,13 inch",Ultra thin laptop with great battery and performance,4.8,40
12,HP Pavilion 15,Laptops,HP,55999,"Intel i5,8GB RAM,512GB SSD,15 inch",Best budget laptop for students and professionals,4.2,120
13,Dell Inspiron 14,Laptops,Dell,62999,"Intel i5,16GB RAM,512GB SSD,14 inch",Reliable everyday laptop with good build quality,4.3,90
14,Lenovo IdeaPad Slim 5,Laptops,Lenovo,58999,"AMD Ryzen 5,16GB RAM,512GB SSD,14 inch",Slim laptop with great performance and battery life,4.4,110
15,Asus VivoBook 16,Laptops,Asus,52999,"Intel i5,8GB RAM,512GB SSD,16 inch",Large screen laptop for productivity and entertainment,4.1,95
16,Samsung 65 inch QLED,TVs,Samsung,89999,"4K,QLED,Smart TV,HDR10+",Premium QLED TV with brilliant colors and smart features,4.6,30
17,LG 55 inch OLED,TVs,LG,129999,"4K,OLED,Smart TV,Dolby Vision",Best picture quality OLED TV for cinematic experience,4.8,20
18,Sony Bravia 50 inch,TVs,Sony,64999,"4K,LED,Smart TV,Dolby Atmos",Reliable Sony TV with excellent audio and picture,4.4,45
19,Mi 43 inch Smart TV,TVs,Xiaomi,32999,"4K,LED,Smart TV,PatchWall",Best budget 4K smart TV with PatchWall interface,4.0,200
20,OnePlus TV 55 Y1S,TVs,OnePlus,42999,"4K,LED,Smart TV,Gamma Engine",Great budget 4K TV with OxygenPlay smart interface,4.2,80
21,Apple Watch Series 11,Wearables,Apple,44900,"ECG,SPO2,Sleep Apnea,24hr battery",Latest health tracking with AI-powered sleep coaching,4.8,120
22,Samsung Galaxy Watch 8,Wearables,Samsung,32999,"WearOS,ECG,BioActive Sensor,AI Coach",Best Android watch with advanced metabolic tracking,4.6,140
23,Fitbit Charge 6,Wearables,Fitbit,14999,"GPS,SPO2,Heart Rate,7-day battery",Slim fitness tracker with Google app integration,4.4,210
24,Amazfit Balance 2,Wearables,Amazfit,18999,"AMOLED,Dual-band GPS,Body Comp",Premium design with comprehensive wellness metrics,4.3,160
25,iPad Air M3,Tablets,Apple,59900,"M3 chip,Liquid Retina,Apple Pencil Pro",Powerful tablet for creators with desktop-class performance,4.9,55
26,Samsung Galaxy Tab S10+,Tablets,Samsung,72999,"AMOLED 120Hz,S-Pen included,AI notes",The ultimate Android tablet for multitasking and media,4.7,45
27,Lenovo Tab P12,Tablets,Lenovo,29999,"3K Display,Quad Speakers,10200mAh",Large screen tablet perfect for students and streaming,4.5,130
28,Microsoft Surface Pro 11,Tablets,Microsoft,115999,"Snapdragon X Elite,Copilot+ PC,OLED",2-in-1 tablet that fully replaces a premium laptop,4.5,35
29,Sony Alpha 7 IV,Cameras,Sony,214990,"33MP,4K 60p,Real-time Eye AF",Professional hybrid mirrorless camera for photo and video,4.9,15
30,Canon EOS R10,Cameras,Canon,75990,"APS-C,24MP,4K vlogging",Ideal entry-level mirrorless for content creators,4.6,40
31,DJI Mini 4 Pro,Cameras,DJI,95000,"4K HDR,Omnidirectional sensing,249g",Compact drone with pro-grade imaging and safety features,4.8,25
32,GoPro HERO13 Black,Cameras,GoPro,42000,"5.3K60,HyperSmooth 7.0,Waterproof",The gold standard for action and extreme sports vlogging,4.7,110
33,Google Nest Hub Gen 3,Smart Home,Google,8999,"10 inch screen,Matter support,Soli sensor",Smart display that tracks sleep and controls smart devices,4.5,150
34,Amazon Echo Dot 6th Gen,Smart Home,Amazon,5499,"Eero Built-in,Improved Bass,Alexa",Compact smart speaker with built-in mesh wifi extender,4.4,400
35,Philips Hue Starter Kit,Smart Home,Philips,9999,"16M colors,Zigbee,Voice Control",Premium smart lighting system with infinite customization,4.6,85
36,TP-Link Tapo C210,Smart Home,TP-Link,2499,"2K,Pan/Tilt,Night Vision,AI Detect",Affordable home security camera with person tracking,4.3,350
37,Samsung 9kg Front Load,Appliances,Samsung,38500,"AI Ecobubble,Wi-Fi,Steam Cycle",Energy efficient washer with remote smartphone control,4.5,65
38,LG 343L Refrigerator,Appliances,LG,45990,"Convertible,Door Cooling,Inverter",Smart refrigerator with uniform cooling and silent motor,4.4,50
39,Dyson V15 Detect,Appliances,Dyson,62900,"Laser Slim Fluffy,HEPA Filter,Cordless",Most powerful cordless vacuum with dust detection laser,4.7,30
40,Philips Air Fryer XL,Appliances,Philips,12999,"Rapid Air Tech,7 presets,Digital Touch",Healthier cooking with 90% less fat and easy cleanup,4.6,180
41,Razer DeathAdder V3,Gaming,Razer,6999,"8K Polling,63g Light,Optical Switches",Ultra-lightweight mouse for competitive esports,4.8,120
42,PS5 Slim,Gaming,Sony,44990,"4K 120Hz,1TB SSD,Ray Tracing",The standard for high-end console gaming with exclusive titles,4.9,70
43,Logitech G513,Gaming,Logitech,10999,"RGB,Mechanical GX Blue,Wrist Rest",Tactile mechanical keyboard with premium aluminum build,4.5,90
44,SteelSeries Arctis Nova 7,Gaming,SteelSeries,16999,"Spatial Audio,Wireless,Multi-platform",Best wireless gaming headset for PC and PlayStation,4.7,60
45,Crucial X9 Pro 2TB,Storage,Crucial,15499,"USB 3.2 Gen2,1050MB/s,Rugged",High-speed portable SSD for photographers and editors,4.6,140
46,SanDisk Extreme 128GB,Storage,SanDisk,1499,"A2,V30,UHS-I,190MB/s",Reliable microSD card for 4K video and smartphones,4.5,1000
47,Anker 737 Power Bank,Accessories,Anker,12999,"140W PD,24000mAh,Smart Display",High-capacity power bank capable of charging laptops,4.8,110
48,Belkin 3-in-1 MagSafe,Accessories,Belkin,13999,"15W Fast Charge,iPhone/Watch/AirPods",Premium wireless charging stand for Apple users,4.7,50
49,Epson EcoTank L3250,Office,Epson,14500,"InkTank,Wi-Fi,Print/Scan/Copy",Extremely low cost per page printing for home offices,4.3,95
